region,molecular_type,synapse_class,L6_BP|bAC,L6_BP|bIR,L6_BP|bNAC,L6_BP|cAC,L6_BTC|bAC,L6_BTC|cAC,L6_BTC|cNAC,L6_ChC|cAC,L6_ChC|cNAC,L6_ChC|dNAC,L6_DBC|bAC,L6_DBC|bIR,L6_DBC|bNAC,L6_DBC|cAC,L6_LBC|bAC,L6_LBC|bNAC,L6_LBC|cAC,L6_LBC|cNAC,L6_LBC|cSTUT,L6_LBC|dNAC,L6_MC|bAC,L6_MC|bNAC,L6_MC|cAC,L6_MC|cNAC,L6_MC|dNAC,L6_NBC|bAC,L6_NBC|cAC,L6_NBC|cIR,L6_NBC|cNAC,L6_NGC|bNAC,L6_NGC|cAC,L6_NGC|cNAC,L6_NGC|cSTUT,L6_SBC|bNAC,L6_SBC|cAC,L6_SBC|dNAC,L6_DBC|bSTUT,L6_DBC|cIR,L6_DBC|cNAC,L6_LBC|cIR,L6_MC|bIR,L6_MC|bSTUT,L6_MC|cSTUT,L6_NBC|bIR,L6_NBC|bSTUT,L6_NBC|cSTUT,L6_NBC|dSTUT,L6_LBC|bIR,L6_LBC|bSTUT,L6_MC|cIR
ACA6b,pv,INH,0.0,0.0,0.0,0.0,0.0004409171075837,0.0004409171075837,0.0004409171075837,0.0004409171075837,0.0004409171075837,0.0189504373177842,0.0,0.0,0.0,0.0,0.0052910052910052,0.0044091710758377,0.0,0.0793290861318072,0.1718766871828096,0.0189504373177842,0.0022045855379188,0.0022045855379188,0.0022045855379188,0.0207141057481193,0.0,0.0044091710758377,0.0044091710758377,0.0044091710758377,0.1339758125472411,0.0004409171075837,0.0004409171075837,0.0189504373177842,0.0189504373177842,0.001763668430335,0.001763668430335,0.075801749271137,0.0,0.0008818342151675,0.0,0.0,0.0022045855379188,0.0022045855379188,0.0,0.0044091710758377,0.0044091710758377,0.1895043731778425,0.1895043731778425,0.0052910052910052,0.005731922398589,0.0022045855379188
ACA6b,sst,INH,0.0007022471910112,0.0007022471910112,0.0007022471910112,0.0007022471910112,0.0102007906783187,0.01090303786933,0.0087962962962962,0.0067363712026633,0.0060341240116521,0.0007022471910112,0.0090823970037453,0.0090823970037453,0.0090823970037453,0.0090823970037453,0.0667446941323345,0.0525697045359966,0.0063202247191011,0.0447149396587598,0.0180555555555555,0.0,0.0328859758635039,0.0231481481481481,0.0328859758635039,0.0268518518518518,0.0083333333333333,0.0540210153974198,0.0540210153974198,0.0540210153974198,0.0181023720349563,0.0046296296296296,0.0046296296296296,0.0,0.0,0.0206252600915522,0.0206252600915522,0.0,0.0090823970037453,0.0183416562630045,0.0090823970037453,0.0070224719101123,0.0328859758635039,0.0328859758635039,0.0083333333333333,0.0533187682064086,0.0540210153974198,0.0007022471910112,0.0,0.0604244694132334,0.065054099042863,0.0231481481481481
ACAd6b,approx_lamp5,INH,0.0,0.0,0.0,0.0,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0,0.0,0.0,0.0,0.0,0.074074074074074,0.0617283950617283,0.0,0.0493827160493827,0.0185185185185185,0.0,0.0308641975308641,0.0308641975308641,0.0308641975308641,0.0246913580246913,0.0,0.0617283950617283,0.0617283950617283,0.0617283950617283,0.0185185185185185,0.0061728395061728,0.0061728395061728,0.0,0.0,0.0246913580246913,0.0246913580246913,0.0,0.0,0.0123456790123456,0.0,0.0,0.0308641975308641,0.0308641975308641,0.0,0.0617283950617283,0.0617283950617283,0.0,0.0,0.074074074074074,0.0802469135802469,0.0308641975308641
ACAd6b,vip,INH,0.0,0.0,0.0,0.0,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0,0.0,0.0,0.0,0.0,0.074074074074074,0.0617283950617283,0.0,0.0493827160493827,0.0185185185185185,0.0,0.0308641975308641,0.0308641975308641,0.0308641975308641,0.0246913580246913,0.0,0.0617283950617283,0.0617283950617283,0.0617283950617283,0.0185185185185185,0.0061728395061728,0.0061728395061728,0.0,0.0,0.0246913580246913,0.0246913580246913,0.0,0.0,0.0123456790123456,0.0,0.0,0.0308641975308641,0.0308641975308641,0.0,0.0617283950617283,0.0617283950617283,0.0,0.0,0.074074074074074,0.0802469135802469,0.0308641975308641
ACAd6b,pv,INH,0.0,0.0,0.0,0.0,0.0004409171075837,0.0004409171075837,0.0004409171075837,0.0004409171075837,0.0004409171075837,0.0189504373177842,0.0,0.0,0.0,0.0,0.0052910052910052,0.0044091710758377,0.0,0.0793290861318072,0.1718766871828096,0.0189504373177842,0.0022045855379188,0.0022045855379188,0.0022045855379188,0.0207141057481193,0.0,0.0044091710758377,0.0044091710758377,0.0044091710758377,0.1339758125472411,0.0004409171075837,0.0004409171075837,0.0189504373177842,0.0189504373177842,0.001763668430335,0.001763668430335,0.075801749271137,0.0,0.0008818342151675,0.0,0.0,0.0022045855379188,0.0022045855379188,0.0,0.0044091710758377,0.0044091710758377,0.1895043731778425,0.1895043731778425,0.0052910052910052,0.005731922398589,0.0022045855379188
ACAd6b,sst,INH,0.0007022471910112,0.0007022471910112,0.0007022471910112,0.0007022471910112,0.0102007906783187,0.01090303786933,0.0087962962962962,0.0067363712026633,0.0060341240116521,0.0007022471910112,0.0090823970037453,0.0090823970037453,0.0090823970037453,0.0090823970037453,0.0667446941323345,0.0525697045359966,0.0063202247191011,0.0447149396587598,0.0180555555555555,0.0,0.0328859758635039,0.0231481481481481,0.0328859758635039,0.0268518518518518,0.0083333333333333,0.0540210153974198,0.0540210153974198,0.0540210153974198,0.0181023720349563,0.0046296296296296,0.0046296296296296,0.0,0.0,0.0206252600915522,0.0206252600915522,0.0,0.0090823970037453,0.0183416562630045,0.0090823970037453,0.0070224719101123,0.0328859758635039,0.0328859758635039,0.0083333333333333,0.0533187682064086,0.0540210153974198,0.0007022471910112,0.0,0.0604244694132334,0.065054099042863,0.0231481481481481
ACAv6b,approx_lamp5,INH,0.0,0.0,0.0,0.0,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0,0.0,0.0,0.0,0.0,0.074074074074074,0.0617283950617283,0.0,0.0493827160493827,0.0185185185185185,0.0,0.0308641975308641,0.0308641975308641,0.0308641975308641,0.0246913580246913,0.0,0.0617283950617283,0.0617283950617283,0.0617283950617283,0.0185185185185185,0.0061728395061728,0.0061728395061728,0.0,0.0,0.0246913580246913,0.0246913580246913,0.0,0.0,0.0123456790123456,0.0,0.0,0.0308641975308641,0.0308641975308641,0.0,0.0617283950617283,0.0617283950617283,0.0,0.0,0.074074074074074,0.0802469135802469,0.0308641975308641
ACAv6b,vip,INH,0.0,0.0,0.0,0.0,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0,0.0,0.0,0.0,0.0,0.074074074074074,0.0617283950617283,0.0,0.0493827160493827,0.0185185185185185,0.0,0.0308641975308641,0.0308641975308641,0.0308641975308641,0.0246913580246913,0.0,0.0617283950617283,0.0617283950617283,0.0617283950617283,0.0185185185185185,0.0061728395061728,0.0061728395061728,0.0,0.0,0.0246913580246913,0.0246913580246913,0.0,0.0,0.0123456790123456,0.0,0.0,0.0308641975308641,0.0308641975308641,0.0,0.0617283950617283,0.0617283950617283,0.0,0.0,0.074074074074074,0.0802469135802469,0.0308641975308641
ACAv6b,pv,INH,0.0,0.0,0.0,0.0,0.0004409171075837,0.0004409171075837,0.0004409171075837,0.0004409171075837,0.0004409171075837,0.0189504373177842,0.0,0.0,0.0,0.0,0.0052910052910052,0.0044091710758377,0.0,0.0793290861318072,0.1718766871828096,0.0189504373177842,0.0022045855379188,0.0022045855379188,0.0022045855379188,0.0207141057481193,0.0,0.0044091710758377,0.0044091710758377,0.0044091710758377,0.1339758125472411,0.0004409171075837,0.0004409171075837,0.0189504373177842,0.0189504373177842,0.001763668430335,0.001763668430335,0.075801749271137,0.0,0.0008818342151675,0.0,0.0,0.0022045855379188,0.0022045855379188,0.0,0.0044091710758377,0.0044091710758377,0.1895043731778425,0.1895043731778425,0.0052910052910052,0.005731922398589,0.0022045855379188
ACAv6b,sst,INH,0.0007022471910112,0.0007022471910112,0.0007022471910112,0.0007022471910112,0.0102007906783187,0.01090303786933,0.0087962962962962,0.0067363712026633,0.0060341240116521,0.0007022471910112,0.0090823970037453,0.0090823970037453,0.0090823970037453,0.0090823970037453,0.0667446941323345,0.0525697045359966,0.0063202247191011,0.0447149396587598,0.0180555555555555,0.0,0.0328859758635039,0.0231481481481481,0.0328859758635039,0.0268518518518518,0.0083333333333333,0.0540210153974198,0.0540210153974198,0.0540210153974198,0.0181023720349563,0.0046296296296296,0.0046296296296296,0.0,0.0,0.0206252600915522,0.0206252600915522,0.0,0.0090823970037453,0.0183416562630045,0.0090823970037453,0.0070224719101123,0.0328859758635039,0.0328859758635039,0.0083333333333333,0.0533187682064086,0.0540210153974198,0.0007022471910112,0.0,0.0604244694132334,0.065054099042863,0.0231481481481481
AId6b,approx_lamp5,INH,0.0,0.0,0.0,0.0,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0,0.0,0.0,0.0,0.0,0.074074074074074,0.0617283950617283,0.0,0.0493827160493827,0.0185185185185185,0.0,0.0308641975308641,0.0308641975308641,0.0308641975308641,0.0246913580246913,0.0,0.0617283950617283,0.0617283950617283,0.0617283950617283,0.0185185185185185,0.0061728395061728,0.0061728395061728,0.0,0.0,0.0246913580246913,0.0246913580246913,0.0,0.0,0.0123456790123456,0.0,0.0,0.0308641975308641,0.0308641975308641,0.0,0.0617283950617283,0.0617283950617283,0.0,0.0,0.074074074074074,0.0802469135802469,0.0308641975308641
AId6b,vip,INH,0.0,0.0,0.0,0.0,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0,0.0,0.0,0.0,0.0,0.074074074074074,0.0617283950617283,0.0,0.0493827160493827,0.0185185185185185,0.0,0.0308641975308641,0.0308641975308641,0.0308641975308641,0.0246913580246913,0.0,0.0617283950617283,0.0617283950617283,0.0617283950617283,0.0185185185185185,0.0061728395061728,0.0061728395061728,0.0,0.0,0.0246913580246913,0.0246913580246913,0.0,0.0,0.0123456790123456,0.0,0.0,0.0308641975308641,0.0308641975308641,0.0,0.0617283950617283,0.0617283950617283,0.0,0.0,0.074074074074074,0.0802469135802469,0.0308641975308641
AId6b,pv,INH,0.0,0.0,0.0,0.0,0.0004409171075837,0.0004409171075837,0.0004409171075837,0.0004409171075837,0.0004409171075837,0.0189504373177842,0.0,0.0,0.0,0.0,0.0052910052910052,0.0044091710758377,0.0,0.0793290861318072,0.1718766871828096,0.0189504373177842,0.0022045855379188,0.0022045855379188,0.0022045855379188,0.0207141057481193,0.0,0.0044091710758377,0.0044091710758377,0.0044091710758377,0.1339758125472411,0.0004409171075837,0.0004409171075837,0.0189504373177842,0.0189504373177842,0.001763668430335,0.001763668430335,0.075801749271137,0.0,0.0008818342151675,0.0,0.0,0.0022045855379188,0.0022045855379188,0.0,0.0044091710758377,0.0044091710758377,0.1895043731778425,0.1895043731778425,0.0052910052910052,0.005731922398589,0.0022045855379188
AId6b,sst,INH,0.0007022471910112,0.0007022471910112,0.0007022471910112,0.0007022471910112,0.0102007906783187,0.01090303786933,0.0087962962962962,0.0067363712026633,0.0060341240116521,0.0007022471910112,0.0090823970037453,0.0090823970037453,0.0090823970037453,0.0090823970037453,0.0667446941323345,0.0525697045359966,0.0063202247191011,0.0447149396587598,0.0180555555555555,0.0,0.0328859758635039,0.0231481481481481,0.0328859758635039,0.0268518518518518,0.0083333333333333,0.0540210153974198,0.0540210153974198,0.0540210153974198,0.0181023720349563,0.0046296296296296,0.0046296296296296,0.0,0.0,0.0206252600915522,0.0206252600915522,0.0,0.0090823970037453,0.0183416562630045,0.0090823970037453,0.0070224719101123,0.0328859758635039,0.0328859758635039,0.0083333333333333,0.0533187682064086,0.0540210153974198,0.0007022471910112,0.0,0.0604244694132334,0.065054099042863,0.0231481481481481
AIp6b,approx_lamp5,INH,0.0,0.0,0.0,0.0,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0,0.0,0.0,0.0,0.0,0.074074074074074,0.0617283950617283,0.0,0.0493827160493827,0.0185185185185185,0.0,0.0308641975308641,0.0308641975308641,0.0308641975308641,0.0246913580246913,0.0,0.0617283950617283,0.0617283950617283,0.0617283950617283,0.0185185185185185,0.0061728395061728,0.0061728395061728,0.0,0.0,0.0246913580246913,0.0246913580246913,0.0,0.0,0.0123456790123456,0.0,0.0,0.0308641975308641,0.0308641975308641,0.0,0.0617283950617283,0.0617283950617283,0.0,0.0,0.074074074074074,0.0802469135802469,0.0308641975308641
AIp6b,vip,INH,0.0,0.0,0.0,0.0,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0,0.0,0.0,0.0,0.0,0.074074074074074,0.0617283950617283,0.0,0.0493827160493827,0.0185185185185185,0.0,0.0308641975308641,0.0308641975308641,0.0308641975308641,0.0246913580246913,0.0,0.0617283950617283,0.0617283950617283,0.0617283950617283,0.0185185185185185,0.0061728395061728,0.0061728395061728,0.0,0.0,0.0246913580246913,0.0246913580246913,0.0,0.0,0.0123456790123456,0.0,0.0,0.0308641975308641,0.0308641975308641,0.0,0.0617283950617283,0.0617283950617283,0.0,0.0,0.074074074074074,0.0802469135802469,0.0308641975308641
AIp6b,pv,INH,0.0,0.0,0.0,0.0,0.0004409171075837,0.0004409171075837,0.0004409171075837,0.0004409171075837,0.0004409171075837,0.0189504373177842,0.0,0.0,0.0,0.0,0.0052910052910052,0.0044091710758377,0.0,0.0793290861318072,0.1718766871828096,0.0189504373177842,0.0022045855379188,0.0022045855379188,0.0022045855379188,0.0207141057481193,0.0,0.0044091710758377,0.0044091710758377,0.0044091710758377,0.1339758125472411,0.0004409171075837,0.0004409171075837,0.0189504373177842,0.0189504373177842,0.001763668430335,0.001763668430335,0.075801749271137,0.0,0.0008818342151675,0.0,0.0,0.0022045855379188,0.0022045855379188,0.0,0.0044091710758377,0.0044091710758377,0.1895043731778425,0.1895043731778425,0.0052910052910052,0.005731922398589,0.0022045855379188
AIp6b,sst,INH,0.0007022471910112,0.0007022471910112,0.0007022471910112,0.0007022471910112,0.0102007906783187,0.01090303786933,0.0087962962962962,0.0067363712026633,0.0060341240116521,0.0007022471910112,0.0090823970037453,0.0090823970037453,0.0090823970037453,0.0090823970037453,0.0667446941323345,0.0525697045359966,0.0063202247191011,0.0447149396587598,0.0180555555555555,0.0,0.0328859758635039,0.0231481481481481,0.0328859758635039,0.0268518518518518,0.0083333333333333,0.0540210153974198,0.0540210153974198,0.0540210153974198,0.0181023720349563,0.0046296296296296,0.0046296296296296,0.0,0.0,0.0206252600915522,0.0206252600915522,0.0,0.0090823970037453,0.0183416562630045,0.0090823970037453,0.0070224719101123,0.0328859758635039,0.0328859758635039,0.0083333333333333,0.0533187682064086,0.0540210153974198,0.0007022471910112,0.0,0.0604244694132334,0.065054099042863,0.0231481481481481
AIv6b,approx_lamp5,INH,0.0,0.0,0.0,0.0,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0,0.0,0.0,0.0,0.0,0.074074074074074,0.0617283950617283,0.0,0.0493827160493827,0.0185185185185185,0.0,0.0308641975308641,0.0308641975308641,0.0308641975308641,0.0246913580246913,0.0,0.0617283950617283,0.0617283950617283,0.0617283950617283,0.0185185185185185,0.0061728395061728,0.0061728395061728,0.0,0.0,0.0246913580246913,0.0246913580246913,0.0,0.0,0.0123456790123456,0.0,0.0,0.0308641975308641,0.0308641975308641,0.0,0.0617283950617283,0.0617283950617283,0.0,0.0,0.074074074074074,0.0802469135802469,0.0308641975308641
AIv6b,vip,INH,0.0,0.0,0.0,0.0,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0,0.0,0.0,0.0,0.0,0.074074074074074,0.0617283950617283,0.0,0.0493827160493827,0.0185185185185185,0.0,0.0308641975308641,0.0308641975308641,0.0308641975308641,0.0246913580246913,0.0,0.0617283950617283,0.0617283950617283,0.0617283950617283,0.0185185185185185,0.0061728395061728,0.0061728395061728,0.0,0.0,0.0246913580246913,0.0246913580246913,0.0,0.0,0.0123456790123456,0.0,0.0,0.0308641975308641,0.0308641975308641,0.0,0.0617283950617283,0.0617283950617283,0.0,0.0,0.074074074074074,0.0802469135802469,0.0308641975308641
AIv6b,pv,INH,0.0,0.0,0.0,0.0,0.0004409171075837,0.0004409171075837,0.0004409171075837,0.0004409171075837,0.0004409171075837,0.0189504373177842,0.0,0.0,0.0,0.0,0.0052910052910052,0.0044091710758377,0.0,0.0793290861318072,0.1718766871828096,0.0189504373177842,0.0022045855379188,0.0022045855379188,0.0022045855379188,0.0207141057481193,0.0,0.0044091710758377,0.0044091710758377,0.0044091710758377,0.1339758125472411,0.0004409171075837,0.0004409171075837,0.0189504373177842,0.0189504373177842,0.001763668430335,0.001763668430335,0.075801749271137,0.0,0.0008818342151675,0.0,0.0,0.0022045855379188,0.0022045855379188,0.0,0.0044091710758377,0.0044091710758377,0.1895043731778425,0.1895043731778425,0.0052910052910052,0.005731922398589,0.0022045855379188
AIv6b,sst,INH,0.0007022471910112,0.0007022471910112,0.0007022471910112,0.0007022471910112,0.0102007906783187,0.01090303786933,0.0087962962962962,0.0067363712026633,0.0060341240116521,0.0007022471910112,0.0090823970037453,0.0090823970037453,0.0090823970037453,0.0090823970037453,0.0667446941323345,0.0525697045359966,0.0063202247191011,0.0447149396587598,0.0180555555555555,0.0,0.0328859758635039,0.0231481481481481,0.0328859758635039,0.0268518518518518,0.0083333333333333,0.0540210153974198,0.0540210153974198,0.0540210153974198,0.0181023720349563,0.0046296296296296,0.0046296296296296,0.0,0.0,0.0206252600915522,0.0206252600915522,0.0,0.0090823970037453,0.0183416562630045,0.0090823970037453,0.0070224719101123,0.0328859758635039,0.0328859758635039,0.0083333333333333,0.0533187682064086,0.0540210153974198,0.0007022471910112,0.0,0.0604244694132334,0.065054099042863,0.0231481481481481
AUDd6b,approx_lamp5,INH,0.0,0.0,0.0,0.0,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0,0.0,0.0,0.0,0.0,0.074074074074074,0.0617283950617283,0.0,0.0493827160493827,0.0185185185185185,0.0,0.0308641975308641,0.0308641975308641,0.0308641975308641,0.0246913580246913,0.0,0.0617283950617283,0.0617283950617283,0.0617283950617283,0.0185185185185185,0.0061728395061728,0.0061728395061728,0.0,0.0,0.0246913580246913,0.0246913580246913,0.0,0.0,0.0123456790123456,0.0,0.0,0.0308641975308641,0.0308641975308641,0.0,0.0617283950617283,0.0617283950617283,0.0,0.0,0.074074074074074,0.0802469135802469,0.0308641975308641
AUDd6b,vip,INH,0.0,0.0,0.0,0.0,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0,0.0,0.0,0.0,0.0,0.074074074074074,0.0617283950617283,0.0,0.0493827160493827,0.0185185185185185,0.0,0.0308641975308641,0.0308641975308641,0.0308641975308641,0.0246913580246913,0.0,0.0617283950617283,0.0617283950617283,0.0617283950617283,0.0185185185185185,0.0061728395061728,0.0061728395061728,0.0,0.0,0.0246913580246913,0.0246913580246913,0.0,0.0,0.0123456790123456,0.0,0.0,0.0308641975308641,0.0308641975308641,0.0,0.0617283950617283,0.0617283950617283,0.0,0.0,0.074074074074074,0.0802469135802469,0.0308641975308641
AUDd6b,pv,INH,0.0,0.0,0.0,0.0,0.0004409171075837,0.0004409171075837,0.0004409171075837,0.0004409171075837,0.0004409171075837,0.0189504373177842,0.0,0.0,0.0,0.0,0.0052910052910052,0.0044091710758377,0.0,0.0793290861318072,0.1718766871828096,0.0189504373177842,0.0022045855379188,0.0022045855379188,0.0022045855379188,0.0207141057481193,0.0,0.0044091710758377,0.0044091710758377,0.0044091710758377,0.1339758125472411,0.0004409171075837,0.0004409171075837,0.0189504373177842,0.0189504373177842,0.001763668430335,0.001763668430335,0.075801749271137,0.0,0.0008818342151675,0.0,0.0,0.0022045855379188,0.0022045855379188,0.0,0.0044091710758377,0.0044091710758377,0.1895043731778425,0.1895043731778425,0.0052910052910052,0.005731922398589,0.0022045855379188
AUDd6b,sst,INH,0.0007022471910112,0.0007022471910112,0.0007022471910112,0.0007022471910112,0.0102007906783187,0.01090303786933,0.0087962962962962,0.0067363712026633,0.0060341240116521,0.0007022471910112,0.0090823970037453,0.0090823970037453,0.0090823970037453,0.0090823970037453,0.0667446941323345,0.0525697045359966,0.0063202247191011,0.0447149396587598,0.0180555555555555,0.0,0.0328859758635039,0.0231481481481481,0.0328859758635039,0.0268518518518518,0.0083333333333333,0.0540210153974198,0.0540210153974198,0.0540210153974198,0.0181023720349563,0.0046296296296296,0.0046296296296296,0.0,0.0,0.0206252600915522,0.0206252600915522,0.0,0.0090823970037453,0.0183416562630045,0.0090823970037453,0.0070224719101123,0.0328859758635039,0.0328859758635039,0.0083333333333333,0.0533187682064086,0.0540210153974198,0.0007022471910112,0.0,0.0604244694132334,0.065054099042863,0.0231481481481481
AUDp6b,approx_lamp5,INH,0.0,0.0,0.0,0.0,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0,0.0,0.0,0.0,0.0,0.074074074074074,0.0617283950617283,0.0,0.0493827160493827,0.0185185185185185,0.0,0.0308641975308641,0.0308641975308641,0.0308641975308641,0.0246913580246913,0.0,0.0617283950617283,0.0617283950617283,0.0617283950617283,0.0185185185185185,0.0061728395061728,0.0061728395061728,0.0,0.0,0.0246913580246913,0.0246913580246913,0.0,0.0,0.0123456790123456,0.0,0.0,0.0308641975308641,0.0308641975308641,0.0,0.0617283950617283,0.0617283950617283,0.0,0.0,0.074074074074074,0.0802469135802469,0.0308641975308641
AUDp6b,vip,INH,0.0,0.0,0.0,0.0,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0,0.0,0.0,0.0,0.0,0.074074074074074,0.0617283950617283,0.0,0.0493827160493827,0.0185185185185185,0.0,0.0308641975308641,0.0308641975308641,0.0308641975308641,0.0246913580246913,0.0,0.0617283950617283,0.0617283950617283,0.0617283950617283,0.0185185185185185,0.0061728395061728,0.0061728395061728,0.0,0.0,0.0246913580246913,0.0246913580246913,0.0,0.0,0.0123456790123456,0.0,0.0,0.0308641975308641,0.0308641975308641,0.0,0.0617283950617283,0.0617283950617283,0.0,0.0,0.074074074074074,0.0802469135802469,0.0308641975308641
AUDp6b,pv,INH,0.0,0.0,0.0,0.0,0.0004409171075837,0.0004409171075837,0.0004409171075837,0.0004409171075837,0.0004409171075837,0.0189504373177842,0.0,0.0,0.0,0.0,0.0052910052910052,0.0044091710758377,0.0,0.0793290861318072,0.1718766871828096,0.0189504373177842,0.0022045855379188,0.0022045855379188,0.0022045855379188,0.0207141057481193,0.0,0.0044091710758377,0.0044091710758377,0.0044091710758377,0.1339758125472411,0.0004409171075837,0.0004409171075837,0.0189504373177842,0.0189504373177842,0.001763668430335,0.001763668430335,0.075801749271137,0.0,0.0008818342151675,0.0,0.0,0.0022045855379188,0.0022045855379188,0.0,0.0044091710758377,0.0044091710758377,0.1895043731778425,0.1895043731778425,0.0052910052910052,0.005731922398589,0.0022045855379188
AUDp6b,sst,INH,0.0007022471910112,0.0007022471910112,0.0007022471910112,0.0007022471910112,0.0102007906783187,0.01090303786933,0.0087962962962962,0.0067363712026633,0.0060341240116521,0.0007022471910112,0.0090823970037453,0.0090823970037453,0.0090823970037453,0.0090823970037453,0.0667446941323345,0.0525697045359966,0.0063202247191011,0.0447149396587598,0.0180555555555555,0.0,0.0328859758635039,0.0231481481481481,0.0328859758635039,0.0268518518518518,0.0083333333333333,0.0540210153974198,0.0540210153974198,0.0540210153974198,0.0181023720349563,0.0046296296296296,0.0046296296296296,0.0,0.0,0.0206252600915522,0.0206252600915522,0.0,0.0090823970037453,0.0183416562630045,0.0090823970037453,0.0070224719101123,0.0328859758635039,0.0328859758635039,0.0083333333333333,0.0533187682064086,0.0540210153974198,0.0007022471910112,0.0,0.0604244694132334,0.065054099042863,0.0231481481481481
AUDpo6b,approx_lamp5,INH,0.0,0.0,0.0,0.0,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0,0.0,0.0,0.0,0.0,0.074074074074074,0.0617283950617283,0.0,0.0493827160493827,0.0185185185185185,0.0,0.0308641975308641,0.0308641975308641,0.0308641975308641,0.0246913580246913,0.0,0.0617283950617283,0.0617283950617283,0.0617283950617283,0.0185185185185185,0.0061728395061728,0.0061728395061728,0.0,0.0,0.0246913580246913,0.0246913580246913,0.0,0.0,0.0123456790123456,0.0,0.0,0.0308641975308641,0.0308641975308641,0.0,0.0617283950617283,0.0617283950617283,0.0,0.0,0.074074074074074,0.0802469135802469,0.0308641975308641
AUDpo6b,vip,INH,0.0,0.0,0.0,0.0,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0061728395061728,0.0,0.0,0.0,0.0,0.0,0.074074074074074,0.0617283950617283,0.0,0.0493827160493827,0.0185185185185185,0.0,0.0308641975308641,0.0308641975308641,0.0308641975308641,0.0246913580246913,0.0,0.0617283950617283,0.0617283950617283,0.0617283950617283,0.0185185185185185,0.0061728395061728,0.0061728395061728,0.0,0.0,0.0246913580246913,0.0246913580246913,0.0,0.0,0.0123456790123456,0.0,0.0,0.0308641975308641,0.0308641975308641,0.0,0.0617283950617283,0.0617283950617283,0.0,0.0,0.074074074074074,0.0802469135802469,0.0308641975308641
AUDpo6b,pv,INH,0.0,0.0,0.0,0.0,0.0004409171075837,0.0004409171075837,0.0004409171075837,0.0004409171075837,0.0004409171075837,0.0189504373177842,0.0,0.0,0.0,0.0,0.0052910052910052,0.0044091710758377,0.0,0.0793290861318072,0.1718766871828096,0.0189504373177842,0.0022045855379188,0.0022045855379188,0.0022045855379188,0.0207141057481193,0.0,0.0044091710758377,0.0044091710758377,0.0044091710758377,0.1339758125472411,0.0004409171075837,0.0004409171075837,0.0189504373177842,0.0189504373177842,0.001763668430335,0.001763668430335,0.075801749271137,0.0,0.0008818342151675,0.0,0.0,0.0022045855379188,0.0022045855379188,0.0,0.0044091710758377,0.0044091710758377,0.1895043731778425,0.1895043731778425,0.0052910052910052,0.005731922398589,0.0022045855379188
AUDpo6b,sst,INH,0.0007022471910112,0.0007022471910112,0.0007022471910112,0.0007022471910112,0.0102007906783187,0.01090303786933,0.0087962962962962,0.0067363712026633,0.0060341240116521,0.0007022471910112,0.0090823970037453,0.0090823970037453,0.0090823970037453,0.0090823970037453,0.0667446941323345,0.0525697045359966,0.0063202247191011,0.0447149396587598,0.0180555555555555,0.0,0.0328859758635039,0.0231481481481481,0.0328859758635039,0.0268518518518518,0.0083333333333333,0.0540210153974198,0.0540210153974198,0.0540210153974198,0.0181023720349563,0.0046296296296296,0.0046296296296296,0.0,0.0,0.0206252600915522,0.0206252600915522,0.0,0.0090823970037453,0.0183416562630045,0.0090823970037453,0.0070224719101123,0.0328859758635039,0.0328859758635039,0.0083333333333333,0.0533187682064086,0.0540210153974198,0.0007022471910112,0.0,0.0604244694132334,0.065054099042863,0.0231481481481481
